Position;Const;Created;gender;Name;Known For;Birth Date
687;nm0001416;2014-03-10;F;Catherine Keener;Being John Malkovich;1959-03-26
688;nm0001648;2016-06-18;F;Charlotte Rampling;45 Years;1946-02-05
689;nm0645683;2014-03-10;F;Sophie Okonedo;Hotel Rwanda;1968-08-11
690;nm0165101;2014-03-10;F;Patricia Clarkson;The Station Agent;1959-12-29
691;nm0013037;2014-03-10;F;Shohreh Aghdashloo;House of Sand and Fog;1952-05-11
692;nm0517820;2014-03-10;F;Lindsay Lohan;The Parent Trap;1986-07-02
693;nm0005502;2014-03-10;F;Michelle Trachtenberg;Buffy the Vampire Slayer;1985-10-11
694;nm0001721;2014-03-10;F;Chloë Sevigny;We Are Who We Are;-
695;nm0001655;2014-03-10;F;Lynn Redgrave;Gods and Monsters;1943-03-08
696;nm0341737;2014-03-10;F;Rachel Griffiths;Six Feet Under;1968-12-18
697;nm3053338;2014-03-10;F;Margot Robbie;Suicide Squad;1990-07-02
698;nm0000666;2014-03-10;F;Lili Taylor;American Crime;1967-02-20
699;nm0917848;2014-03-10;F;Robin Weigert;Deadwood;1969-07-07
700;nm1128572;2014-03-10;F;Lake Bell;In a World...;1979-03-24
701;nm0001647;2014-03-10;M;Claude Rains;Casablanca;1889-11-10
702;nm0000114;2014-03-10;M;Steve Buscemi;Fargo;1957-12-13
703;nm0722636;2016-06-18;M;John Rhys-Davies;The Lord of the Rings: The Return of the King;1944-05-05
704;nm0004462;2014-03-10;M;Jean-Louis Trintignant;Amour;1930-12-11
705;nm0001072;2014-03-10;M;Joseph Cotten;The Third Man;1905-05-15
706;nm0001608;2014-03-10;M;Barry Pepper;'Saving Private Ryan': Boot Camp;1970-04-04
707;nm0002233;2014-03-10;M;Erich von Stroheim;Sunset Blvd.;1885-09-22
708;nm0933940;2016-06-18;M;Patrick Wilson;The Phantom of the Opera;1973-07-03
709;nm0000502;2014-03-10;M;Christopher Lloyd;Back to the Future;1938-10-22
710;nm0004936;2014-03-10;M;Ben Foster;Hell or High Water;1980-10-29
711;nm0566948;2014-03-10;M;Joel McCrea;Sullivan's Travels;1905-11-05
712;nm0158856;2014-03-10;M;Choi Min-sik;Oldeuboi;1962-01-22
713;nm0000191;2014-03-10;M;Ewan McGregor;Moulin Rouge!;1971-03-31
714;nm0305558;2014-03-10;M;Gael García Bernal;Mozart in the Jungle;1978-11-30
715;nm0004486;2014-03-10;M;Bruno Ganz;Der Untergang;1941-03-22
716;nm0000276;2014-03-10;M;Sean Astin;The Lord of the Rings: The Two Towers;1971-02-25
717;nm0451234;2016-06-18;M;Irrfan Khan;The Lunchbox;1967-01-07
718;nm0355910;2016-06-18;M;Michael C. Hall;Dexter;1971-02-01
719;nm0001702;2014-03-10;M;Roy Scheider;Jaws;1932-11-10
720;nm0000729;2014-03-10;M;Casey Affleck;Gone Baby Gone;1975-08-12
721;nm0000997;2014-03-10;M;Gary Busey;The Buddy Holly Story;1944-06-29
722;nm0005342;2016-06-18;M;Norman Reedus;The Walking Dead;1969-01-06
723;nm0001099;2014-03-10;M;Jeff Daniels;The Squid and the Whale;1955-02-19
724;nm0001804;2014-03-10;M;Stanley Tucci;Big Night;1960-11-11
725;nm0000662;2014-03-10;M;Kiefer Sutherland;24;1966-12-21
726;nm0000706;2015-03-08;F;Michelle Yeoh;Everything Everywhere All at Once;1962-08-06
727;nm2244205;2014-03-10;F;Léa Seydoux;La vie d'Adèle;1985-07-01
728;nm0424848;2015-03-08;F;Dakota Johnson;Fifty Shades of Grey;1989-10-04
729;nm0000365;2014-03-10;F;Julie Delpy;Trois couleurs: Blanc;1969-12-21
730;nm0000157;2014-03-10;F;Linda Hamilton;Terminator 2: Judgment Day;1956-09-26
731;nm0000402;2014-03-10;F;Carrie Fisher;Star Wars;1956-10-21
732;nm0000427;2014-03-10;F;Pam Grier;Jackie Brown;1949-05-26
733;nm0001951;2014-03-10;F;Björk;Dancer in the Dark;1965-11-21
734;nm0115161;2014-03-10;F;Emily Browning;A Series of Unfortunate Events;1988-12-07
735;nm0000496;2014-03-10;F;Juliette Lewis;Natural Born Killers;1973-06-21
736;nm0000572;2014-03-10;F;Sarah Jessica Parker;Sex and the City;1965-03-25
737;nm0001453;2014-03-10;F;Piper Laurie;The Hustler;1932-01-22
738;nm1415323;2014-03-10;F;Miley Cyrus;Hannah Montana;1992-11-23
739;nm0005499;2014-03-10;F;Lily Tomlin;Nashville;1939-09-01
740;nm0005412;2019-11-09;F;Jane Seymour;Dr. Quinn, Medicine Woman;1951-02-15
741;nm0001784;2014-03-10;F;Gloria Stuart;Titanic;1910-07-04
742;nm0001735;2014-03-10;F;Talia Shire;Rocky;1946-04-25
743;nm2933757;2017-09-16;F;Gal Gadot;Wonder Woman;1985-04-30
744;nm0528987;2014-03-10;F;Sue Lyon;Lolita;1946-07-10
745;nm0000556;2014-03-10;F;Olivia Newton-John;Grease;1948-09-26
746;nm0000378;2014-03-10;F;Minnie Driver;Circle of Friends;1970-01-31
747;nm0000414;2014-03-10;F;Teri Garr;Tootsie;1947-12-11
748;nm0005392;2014-03-10;F;Keri Russell;Felicity;1976-03-23
749;nm0781029;2014-03-10;F;Jean Seberg;À bout de souffle;1938-11-13
750;nm0001631;2014-03-10;F;Sarah Polley;My Life Without Me;1979-01-08
751;nm0000982;2014-03-10;M;Josh Brolin;Avengers: Endgame;1968-02-12
752;nm0001358;2014-03-10;M;Hal Holbrook;Into the Wild;1925-02-17
753;nm0005023;2014-03-10;M;Djimon Hounsou;Blood Diamond;1964-04-24
754;nm0000369;2014-03-10;M;Matt Dillon;Crash;1964-02-18
755;nm0000257;2014-03-10;M;Alan Alda;M*A*S*H;1936-01-28
756;nm0002006;2014-03-10;M;Thomas Haden Church;Sideways;1960-06-17
757;nm0654110;2014-03-10;M;Clive Owen;Children of Men;1964-10-03
758;nm0913822;2014-03-10;M;Ken Watanabe;The Last Samurai;1959-10-21
759;nm4139037;2014-03-10;M;Suraj Sharma;Life of Pi;1993-03-21
760;nm0000604;2014-03-10;M;John C. Reilly;Chicago;1965-05-24
761;nm0003817;2014-03-10;M;Michael Clarke Duncan;The Green Mile;1957-12-10
762;nm0005286;2014-03-10;M;Haley Joel Osment;The Sixth Sense;1988-04-10
763;nm0001427;2014-03-10;M;Greg Kinnear;As Good as It Gets;1963-06-17
764;nm0000608;2014-03-10;M;Burt Reynolds;Boogie Nights;1936-02-11
765;nm0001233;2014-03-10;M;Robert Forster;Jackie Brown;1941-07-13
766;nm0005403;2014-03-10;M;Jason Schwartzman;Rushmore;1980-06-26
767;nm0000513;2014-03-10;M;William H. Macy;Fargo;1950-03-13
768;nm0000090;2014-03-10;M;Armin Mueller-Stahl;Eastern Promises;1930-12-17
769;nm0000619;2014-03-10;M;Tim Roth;Rob Roy;1961-05-14
770;nm0000342;2014-03-10;M;James Cromwell;L.A. Confidential;1940-01-27
771;nm0001590;2014-03-10;M;Chazz Palminteri;The Usual Suspects;1952-05-15
772;nm0000641;2014-03-10;M;Gary Sinise;Forrest Gump;1955-03-17
773;nm0006890;2014-03-10;M;Paul Scofield;A Man for All Seasons;1922-01-21
774;nm0000592;2014-03-10;M;Pete Postlethwaite;The Usual Suspects;1946-02-07
775;nm0915989;2014-03-09;M;Hugo Weaving;The Lord of the Rings: The Return of the King;1960-04-04
776;nm0000586;2014-03-10;F;Jada Pinkett Smith;The Matrix Revolutions;1971-09-18
777;nm0001575;2014-03-10;F;Tatum O'Neal;Paper Moon;1963-11-05
778;nm0267506;2014-03-10;F;Anna Faris;The House Bunny;1976-11-29
779;nm0567408;2014-03-09;F;Hattie McDaniel;Gone with the Wind;1893-06-10
780;nm0000463;2014-03-10;F;Famke Janssen;X-Men: The Last Stand;1964-11-05
781;nm0683253;2015-03-08;F;Rosamund Pike;Gone Girl;
782;nm0001372;2014-03-10;F;Bonnie Hunt;Jumanji;1961-09-22
783;nm0005182;2014-03-10;F;Leslie Mann;Knocked Up;1972-03-26
784;nm1411676;2014-03-10;F;Mindy Kaling;The Office;1979-06-24
785;nm0628601;2014-03-10;F;Thandiwe Newton;Crash;1972-11-06
786;nm0688132;2019-03-19;F;Amy Poehler;Inside Out;1971-09-16
787;nm0001605;2014-03-10;F;Amanda Peet;2012;1972-01-11
788;nm0005466;2014-03-10;F;Julia Stiles;10 Things I Hate About You;1981-03-28
789;nm0004742;2014-03-10;F;Maria Bello;A History of Violence;1967-04-18
790;nm0578949;2014-03-10;F;Eva Mendes;Hitch;1974-03-05
791;nm1289434;2014-03-10;F;Emily Blunt;Edge of Tomorrow;1983-02-23
792;nm0126284;2014-03-10;F;Rose Byrne;Spy;1979-07-24
793;nm0000171;2014-03-10;F;Ashley Judd;Double Jeopardy;1968-04-19
794;nm3592338;2014-03-10;F;Emilia Clarke;Game of Thrones;1986-10-23
795;nm0000775;2014-03-10;F;Christina Applegate;Don't Tell Mom the Babysitter's Dead;1971-11-25
796;nm0000505;2014-03-10;F;Nia Long;The Best Man;1970-10-30
797;nm0428065;2015-03-08;F;Felicity Jones;Rogue One;1983-10-17
798;nm0000495;2014-03-10;F;Téa Leoni;The Family Man;1966-02-25
799;nm1275259;2014-03-10;F;Alexandra Daddario;Baywatch;1986-03-16
800;nm0540441;2014-03-10;F;Jena Malone;The Neon Demon;1984-11-21
801;nm0000152;2014-03-10;M;Richard Gere;Chicago;1949-08-31
802;nm0296545;2014-03-10;M;Nick Frost;The World's End;1972-03-28
803;nm0000501;2014-03-10;M;Ray Liotta;GoodFellas;1954-12-18
804;nm0001674;2014-03-10;M;Chris Rock;Top Five;1965-02-07
805;nm0358316;2014-03-10;M;Jon Hamm;Mad Men;1971-03-10
806;nm0000439;2014-03-10;M;Neil Patrick Harris;How I Met Your Mother;1973-06-15
807;nm0000221;2014-03-10;M;Charlie Sheen;Two and a Half Men;1965-09-03
808;nm0753314;2016-06-18;M;Mark Rylance;Bridge of Spies;1960-01-18
809;nm0000412;2014-03-10;M;Andy Garcia;Ocean's Eleven;1956-04-12
810;nm0503627;2014-03-10;M;Michael Lerner;Barton Fink;1941-06-22
811;nm0001295;2014-03-10;M;Graham Greene;The Green Mile;1952-06-22
812;nm0001117;2014-03-10;M;Bruce Davison;X-Men;1946-06-28
813;nm0000101;2014-03-10;M;Dan Aykroyd;Ghostbusters;1952-07-01
814;nm0000732;2014-03-10;M;Danny Aiello;Do the Right Thing;1933-06-20
815;nm0000203;2014-03-10;M;River Phoenix;My Own Private Idaho;1970-08-23
816;nm0001777;2014-03-10;M;Dean Stockwell;Quantum Leap;1936-03-05
817;nm0000345;2014-03-10;M;Billy Crystal;Forget Paris;1948-03-14
818;nm0000422;2014-03-10;M;John Goodman;10 Cloverfield Lane;1952-06-20
819;nm0089217;2014-03-10;M;Orlando Bloom;The Lord of the Rings: The Fellowship of the Ring;1977-01-13
820;nm0001745;2014-03-10;M;Stellan Skarsgård;Good Will Hunting;1951-06-13
821;nm0002907;2016-06-18;M;Alexander Skarsgård;The Legend of Tarzan;1976-08-25
822;nm0000196;2014-03-10;M;Mike Myers;Austin Powers: The Spy Who Shagged Me;1963-05-25
823;nm0879085;2014-03-10;M;Tyrese Gibson;Baby Boy;1978-12-30
824;nm0000704;2014-03-10;M;Elijah Wood;The Lord of the Rings: The Fellowship of the Ring;1981-01-28
825;nm0000362;2014-03-10;M;Danny DeVito;Matilda;1944-11-17
826;nm0001333;2014-03-09;F;Susan Hayward;With a Song in My Heart;1917-06-30
827;nm0735442;2014-03-10;F;Michelle Rodriguez;Fast & Furious 7;1978-07-12
828;nm0001264;2014-03-10;F;Sarah Michelle Gellar;Buffy the Vampire Slayer;1977-04-14
829;nm0644897;2019-03-19;F;Sandra Oh;Killing Eve;1971-07-20
830;nm0452288;2019-09-04;F;Margot Kidder;Superman;1948-10-17
831;nm0461498;2014-03-10;F;Beyoncé;Dreamgirls;1981-09-04
832;nm0356017;2014-03-10;F;Rebecca Hall;Vicky Cristina Barcelona;1982-05-03
833;nm0005305;2014-03-10;F;Piper Perabo;Coyote Ugly;1976-10-31
834;nm0001073;2014-03-10;F;Courteney Cox;Friends;1964-06-15
835;nm0000205;2014-03-10;F;Parker Posey;Scream 3;1968-11-08
836;nm1745736;2014-03-10;F;Paula Patton;Precious;1975-12-05
837;nm1157358;2014-03-10;F;Michelle Monaghan;Gone Baby Gone;1976-03-23
838;nm0000132;2014-03-10;F;Claire Danes;My So-Called Life;1979-04-12
839;nm0005049;2019-03-19;F;Allison Janney;The Help;1959-11-19
840;nm0098378;2014-03-10;F;Kate Bosworth;21;1983-01-02
841;nm0939697;2014-03-10;F;Evan Rachel Wood;Thirteen;1987-09-07
842;nm0000227;2015-03-08;F;Mira Sorvino;Mighty Aphrodite;1967-09-28
843;nm0955471;2014-03-10;F;Ziyi Zhang;Yi dai zong shi;1979-02-09
844;nm0004789;2014-03-10;F;Amanda Bynes;Hairspray;1986-04-03
845;nm0001435;2014-03-10;F;Lisa Kudrow;Friends;1963-07-30
846;nm1779870;2019-07-29;F;Brit Marling;Another Earth;1982-08-07
847;nm7248827;2020-08-10;F;Cynthia Erivo;Harriet;1987-01-08
848;nm0005527;2015-03-08;F;Sofía Vergara;Hot Pursuit;1972-07-10
849;nm0601553;2014-03-10;F;Mandy Moore;A Walk to Remember;1984-04-10
850;nm0000515;2014-03-10;F;Virginia Madsen;Sideways;1961-09-11
851;nm0005188;2014-03-10;M;James Marsden;Hairspray;1973-09-18
852;nm0000741;2014-03-10;M;Tim Allen;Toy Story;1953-06-13
853;nm0000610;2014-03-10;M;Giovanni Ribisi;Boiler Room;1974-12-17
854;nm0000442;2016-06-18;M;Rutger Hauer;Hobo with a Shotgun;1944-01-23
855;nm0000681;2014-03-10;M;Vince Vaughn;The Break-Up;1970-03-28
856;nm0004051;2014-03-10;M;Brian Cox;Succession;1946-06-01
857;nm0000598;2014-03-10;M;Dennis Quaid;Far from Heaven;1954-04-09
858;nm0000491;2014-03-10;M;John Leguizamo;Moulin Rouge!;1960-07-22
859;nm0000474;2014-03-10;M;Michael Keaton;Birdman or (The Unexpected Virtue of Ignorance);1951-09-05
860;nm0121605;2014-03-10;M;Billy Burke;Twilight;1966-11-25
861;nm0322407;2014-03-10;M;Brendan Gleeson;Calvary;1955-03-29
862;nm0000314;2019-03-18;M;Charles Bronson;C'era una volta il West;1921-11-03
863;nm0000596;2014-03-10;M;Jonathan Pryce;The Two Popes;1947-06-01
864;nm0001497;2014-03-10;M;Tobey Maguire;Brothers;1975-06-27
865;nm0790688;2014-03-10;M;Michael Sheen;Masters of Sex;1969-02-05
866;nm0519043;2014-03-10;M;Justin Long;Live Free or Die Hard;1978-06-02
867;nm0085312;2014-03-10;M;Jack Black;School of Rock;1969-08-28
868;nm0000316;2019-03-18;M;Mel Brooks;Spaceballs;1926-06-28
869;nm0000112;2014-03-10;M;Pierce Brosnan;The World Is Not Enough;1953-05-16
870;nm0000293;2014-03-10;M;Sean Bean;The Lord of the Rings: The Fellowship of the Ring;1959-04-17
871;nm0991810;2017-09-16;M;Mahershala Ali;House of Cards;1974-02-16
872;nm0241049;2014-03-10;M;Josh Duhamel;Transformers;1972-11-14
873;nm0000552;2014-03-10;M;Eddie Murphy;The Nutty Professor;1961-04-03
874;nm0269463;2014-03-10;M;Jon Favreau;Chef;1966-10-19
875;nm0000418;2014-03-10;M;Danny Glover;Lethal Weapon;1946-07-22
876;nm2951768;2014-03-10;F;Freida Pinto;Slumdog Millionaire;1984-10-18
877;nm0240381;2014-03-10;F;Hilary Duff;A Cinderella Story;1987-09-28
878;nm0935541;2014-03-10;F;Mary Elizabeth Winstead;10 Cloverfield Lane;1984-11-28
879;nm0177639;2014-03-10;F;Jennifer Coolidge;A Mighty Wind;1961-08-28
880;nm2057859;2015-03-08;F;Andrea Riseborough;Birdman or (The Unexpected Virtue of Ignorance);1981-11-20
881;nm0000208;2015-03-08;F;Molly Ringwald;The Breakfast Club;1968-02-18
882;nm0005064;2014-03-10;F;January Jones;X: First Class;1978-01-05
883;nm0748973;2015-03-08;F;Maya Rudolph;Bridesmaids;1972-07-27
884;nm0000521;2015-03-08;F;Sophie Marceau;La boum;1966-11-17
885;nm0004376;2014-03-10;F;Franka Potente;Lola rennt;1974-07-22
886;nm2946516;2019-03-19;F;Claire Foy;First Man;1984-04-16
887;nm0429069;2014-03-10;F;Rashida Jones;Parks and Recreation;1976-02-25
888;nm0000224;2014-03-10;F;Alicia Silverstone;Clueless;1976-10-04
889;nm0001273;2015-07-05;F;Lillian Gish;The Night of the Hunter;1893-10-14
890;nm1431940;2014-03-10;F;Evangeline Lilly;Ant-Man;1979-08-03
891;nm1469236;2019-03-19;F;Olivia Colman;The Favourite;1974-01-30
892;nm0257969;2015-03-08;F;Mireille Enos;World War Z;1975-09-22
893;nm0001349;2014-03-10;F;Jennifer Love Hewitt;I Know What You Did Last Summer;1979-02-21
894;nm0002536;2014-03-10;F;Emmy Rossum;The Phantom of the Opera;1986-09-12
895;nm1428821;2014-03-10;F;Joey King;The Act;1999-07-30
896;nm0329481;2014-03-10;F;Ginnifer Goodwin;Big Love;1978-05-22
897;nm0852132;2014-03-10;F;Christine Taylor;Dodgeball: A True Underdog Story;1971-07-30
898;nm1227814;2014-03-10;F;Vanessa Hudgens;High School Musical 3: Senior Year;1988-12-14
899;nm0180411;2014-03-10;F;Abbie Cornish;Bright Star;1982-08-07
900;nm6073955;2020-08-10;F;Florence Pugh;The Falling;1996-01-03
901;nm0000453;2014-03-10;M;Ian Holm;The Lord of the Rings: The Return of the King;1931-09-12
902;nm0001447;2014-03-10;M;Nathan Lane;The Producers;1956-02-03
903;nm0000144;2014-03-10;M;Cary Elwes;Saw;1962-10-26
904;nm0001454;2014-03-10;M;Martin Lawrence;Martin;1965-04-16
905;nm0176869;2014-03-10;M;Steve Coogan;Philomena;1965-10-14
906;nm0056187;2014-03-10;M;Sacha Baron Cohen;Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;1971-10-13
907;nm0942482;2014-03-10;M;Jeffrey Wright;The French Dispatch;1965-12-07
908;nm0000329;2014-03-10;M;Jackie Chan;Ngo si seoi;1954-04-07
909;nm0001173;2014-03-10;M;Aaron Eckhart;The Dark Knight;1968-03-12
910;nm0941777;2014-03-10;M;Sam Worthington;Avatar;1976-08-02
911;nm0202603;2014-03-10;M;Jack Davenport;Pirates of the Caribbean: Dead Man's Chest;1973-03-01
912;nm0000547;2014-03-10;M;Alfred Molina;Spider-Man 2;1953-05-24
913;nm0000347;2019-03-18;M;Tim Curry;Congo;1946-04-19
914;nm0000434;2014-03-10;M;Mark Hamill;Star Wars;
915;nm0000409;2014-03-10;M;Brendan Fraser;The Mummy;1968-12-03
916;nm0001084;2014-03-10;M;Ice Cube;Friday;1969-06-15
917;nm0000630;2014-03-10;M;Liev Schreiber;Spotlight;1967-10-04
918;nm1159180;2014-03-10;M;Ed Helms;The Hangover;1974-01-24
919;nm0000174;2014-03-10;M;Val Kilmer;The Doors;1959-12-31
920;nm1258970;2014-03-10;M;Russell Brand;Arthur;1975-06-04
921;nm0005266;2014-03-10;M;Craig T. Nelson;Coach;1944-04-04
922;nm0005170;2014-03-10;M;Bernie Mac;The Bernie Mac Show;1957-10-05
923;nm0001772;2014-03-10;M;Patrick Stewart;Logan;1940-07-13
924;nm0001293;2014-03-10;M;Seth Green;Robot Chicken;1974-02-08
925;nm0005110;2014-03-10;M;Ashton Kutcher;That '70s Show;1978-02-07
926;nm0001642;2014-03-10;M;Randy Quaid;Independence Day;1950-10-01
927;nm0000648;2014-03-10;M;Wesley Snipes;Blade;1962-07-31
928;nm0654648;2015-03-08;M;David Oyelowo;Selma;1976-04-01
929;nm0835016;2014-03-10;M;Mark Strong;1917;1963-08-05
930;nm0001705;2014-03-10;M;Rob Schneider;Deuce Bigalow: Male Gigolo;1963-10-31
931;nm0059431;2014-03-10;M;Jay Baruchel;Goon;1982-04-09
932;nm0159789;2014-03-10;M;Hayden Christensen;Star Wars: Episode III - Revenge of the Sith;1981-04-19
933;nm0829032;2014-03-10;M;Ray Stevenson;The Three Musketeers;1964-05-25
934;nm0079273;2014-03-10;M;Paul Bettany;WandaVision;1971-05-27
935;nm0491402;2014-03-10;M;Hugh Laurie;House M.D.;1959-06-11
936;nm0000676;2014-03-10;M;Chris Tucker;Rush Hour 2;1971-08-31
937;nm0001006;2019-04-12;M;John Candy;Planes, Trains & Automobiles;1950-10-31
938;nm0000277;2019-03-18;M;Richard Attenborough;Jurassic Park;1923-08-29
939;nm0000563;2014-03-10;M;Chris O'Donnell;Batman & Robin;1970-06-26
940;nm0000973;2014-03-10;M;Benjamin Bratt;Miss Congeniality;1963-12-16
941;nm0996669;2014-03-10;M;Common;John Wick: Chapter 2;1972-03-13
942;nm0005541;2014-03-10;M;Marlon Wayans;White Chicks;1972-07-23
943;nm0000983;2014-03-10;M;Albert Brooks;Drive;1947-07-22
944;nm0666739;2019-03-18;M;Aaron Paul;Breaking Bad;1979-08-27
945;nm0000346;2014-03-10;M;Macaulay Culkin;Home Alone;1980-08-26
946;nm0000385;2014-03-10;M;Sam Elliott;A Star Is Born;1944-08-09
947;nm5473782;2019-07-29;M;Taron Egerton;Kingsman: The Secret Service;1989-11-10
948;nm0001029;2014-03-10;M;Jim Caviezel;The Passion of the Christ;1968-09-26
949;nm0000062;2019-03-19;M;Elvis Presley;Girls! Girls! Girls!;1935-01-08
950;nm1706767;2014-03-09;M;Jonah Hill;21 Jump Street;1983-12-20
951;nm0437646;2019-07-29;M;Sung Kang;Furious 6;1972-04-08
952;nm0837177;2014-03-10;M;Jason Sudeikis;Ted Lasso;1975-09-18
953;nm0001326;2014-03-10;M;Josh Hartnett;Lucky Number Slevin;1978-07-21
954;nm0614165;2014-03-10;M;Cillian Murphy;28 Days Later...;1976-05-25
955;nm0001082;2014-03-10;M;Billy Crudup;Almost Famous;1968-07-08
956;nm1107001;2014-03-10;M;Anthony Mackie;The Hurt Locker;1978-09-23
957;nm0000858;2019-03-19;M;John Barrymore;Twentieth Century;1882-02-15
958;nm0648249;2014-03-10;M;Timothy Olyphant;Justified;1968-05-20
959;nm1265802;2014-03-10;M;Josh Gad;Frozen;1981-02-23
960;nm0000708;2019-07-29;M;Billy Zane;Titanic;1966-02-24
961;nm0005561;2014-03-10;M;Luke Wilson;Old School;1971-09-21
962;nm0765597;2014-03-10;M;Peter Sarsgaard;Shattered Glass;1971-03-07
963;nm0406975;2014-03-10;M;Rhys Ifans;The Amazing Spider-Man;1967-07-22
964;nm0333410;2014-03-10;M;Topher Grace;In Good Company;1978-07-12
965;nm0366389;2014-03-10;M;Kevin Hart;Ride Along;1979-07-06
966;nm0200452;2014-03-10;M;Paul Dano;There Will Be Blood;1984-06-19
967;nm0352778;2015-03-08;M;Bill Hader;The Skeleton Twins;1978-06-07
968;nm0000507;2014-03-10;M;Rob Lowe;St. Elmo's Fire;1964-03-17
969;nm0000305;2019-03-19;M;Mel Blanc;Who Framed Roger Rabbit;1908-05-30
970;nm0005450;2014-03-10;M;David Spade;Joe Dirt;1964-07-22
971;nm1443527;2014-03-10;M;Rob Riggle;The Daily Show;1970-04-21
972;nm0000448;2014-03-10;M;Lance Henriksen;Hard Target;1940-05-05
973;nm0420955;2015-03-08;M;Richard Jenkins;The Shape of Water;1947-05-04
974;nm0000389;2019-03-19;M;Emilio Estevez;The Way;1962-05-12
975;nm1013003;2014-03-10;M;Michael Ealy;Barbershop;1973-08-03
976;nm0068260;2014-03-10;M;Jamie Bell;Billy Elliot;1986-03-14
977;nm1684869;2019-03-19;M;Troy Baker;The Last of Us;1976-04-01
978;nm1144419;2014-03-10;M;Danny McBride;Pineapple Express;1976-12-29
979;nm0001667;2015-07-05;M;Jonathan Rhys Meyers;Den 12. mann;1977-07-27
980;nm0148418;2014-03-10;M;Michael Cera;Superbad;1988-06-07
981;nm0000200;2016-06-18;M;Bill Paxton;Aliens;1955-05-17
982;nm0344435;2014-03-10;M;Ioan Gruffudd;Fantastic Four;1973-10-06
983;nm0511088;2016-06-18;M;Andrew Lincoln;The Walking Dead;1973-09-14
984;nm3009232;2019-03-19;M;Ezra Miller;The Perks of Being a Wallflower;1992-09-30
985;nm0000597;2016-06-18;M;Bill Pullman;Independence Day;1953-12-17
986;nm0732497;2015-03-08;M;Craig Robinson;This Is the End;1971-10-25
987;nm0206359;2014-03-10;M;Charlie Day;It's Always Sunny in Philadelphia;1976-02-09
988;nm1676221;2014-03-10;M;Andy Samberg;Saturday Night Live;1978-08-18
989;nm1330560;2014-03-10;M;Garrett Hedlund;Tron;1984-09-03
990;nm1544217;2014-03-10;M;Cam Gigandet;Twilight;1982-08-16
991;nm1024677;2014-03-10;M;John Krasinski;Jack Ryan;1979-10-20
992;nm0416673;2015-08-13;M;Kevin James;Paul Blart: Mall Cop;1965-04-26
993;nm0001659;2014-03-10;M;Christopher Reeve;Superman;1952-09-25
994;nm0564215;2015-08-13;M;James McAvoy;Filth;1979-04-21
995;nm0001722;2014-03-10;M;Rufus Sewell;Dark City;1967-10-29
996;nm3485845;2019-03-19;M;Adam Driver;Star Wars: Episode VII - The Force Awakens;1983-11-19
997;nm0000885;2014-03-10;M;Ned Beatty;Network;1937-07-06
998;nm0000092;2014-03-10;M;John Cleese;A Fish Called Wanda;1939-10-27
999;nm0001806;2014-03-10;M;John Turturro;Barton Fink;1957-02-28
1000;nm0001471;2017-09-16;M;Jerry Lewis;The Nutty Professor;1926-03-16
